X,Y,OBJECTID,NonAssetID,Owner,MaintResp,LocationID,ImagePath,BikeParkType,NumberRacks,NumberSpaces,InStreet
-13658017.6379,5703430.5935,243,0012-0000311,PDXTRANS,PDXTRANS,BF62562,,BSHARE,16,16,Y
-13655227.5661,5709061.6059,244,0012-0000312,PDXTRANS,PDXTRANS,BF5892,,BSHARE,20,20,Y
-13649909.3401,5703208.5418,245,0012-0000313,PDXTRANS,PDXTRANS,BF42506,,BSHARE,11,11,Y
-13654852.6028,5706247.5929,246,0012-0000314,PDXTRANS,PDXTRANS,BF13223,,BSHARE,12,12,Y
-13653966.3068,5702503.92,247,0012-0000315,PDXTRANS,PDXTRANS,BF32082,,CORRAL,3,6,Y
-13648629.2636,5699804.2895,248,0012-0000316,PDXTRANS,PDXTRANS,BF44884,,CORRAL,6,12,Y
-13655184.5147,5707875.0706,249,0012-0000317,PDXTRANS,PDXTRANS,BF9237,,CORRAL,12,24,Y
-13655203.4702,5706326.6541,250,0012-0000318,PDXTRANS,PDXTRANS,BF9177,,CORRAL,6,12,Y
-13656469.9722,5704106.4146,251,0012-0000319,PDXTRANS,PDXTRANS,BF59174,,CORRAL,6,12,Y
-13652135.4375,5703469.7847,252,0012-0000320,PDXTRANS,PDXTRANS,BF35572,,CORRAL,3,6,Y
-13659570.1661,5703750.845,253,0012-0000321,PDXTRANS,PDXTRANS,BF65429,,CORRAL,9,18,Y
-13644255.9727,5697529.0402,254,0012-0000322,PDXTRANS,PDXTRANS,BF50999,,CORRAL,6,12,Y
-13656937.091,5704142.1505,255,0012-0000323,PDXTRANS,PDXTRANS,BF65969,,CORRAL,6,12,Y
-13656822.6901,5708187.1591,256,0012-0000324,PDXTRANS,PDXTRANS,BF3406,,CORRAL,6,12,Y
-13657719.9146,5704641.1253,257,0012-0000328,PDXTRANS,PRIVATE,BF27565,,BSHARE,7,,Y
-13657707.0325,5704611.9391,258,0012-0000329,PDXTRANS,PRIVATE,BF27587,,BSHARE,14,,Y
-13647028.8174,5707946.4081,259,0012-0000330,PDXTRANS,PDXTRANS,BF15598,,BSHARE,10,10,Y
-13647130.3112,5710518.8362,260,0012-0000331,PDXTRANS,PDXTRANS,BF18971,,BSHARE,8,8,N
-13654656.0352,5710384.9948,261,0012-0000332,PDXTRANS,PDXTRANS,BF19262,,BSHARE,6,6,U
-13656043.6394,5711689.0173,262,0012-0000333,PDXTRANS,PDXTRANS,BF7120,,BSHARE,5,5,Y
-13650070.2623,5711136.1231,263,0012-0000334,PDXTRANS,PDXTRANS,BF17211,,BSHARE,5,5,Y
-13644262.801,5697346.1946,264,0012-0000335,PDXTRANS,PDXTRANS,BF41473,,BSHARE,8,8,N
-13646540.0676,5698414.5578,265,0012-0000336,PDXTRANS,PDXTRANS,BF44965,,BSHARE,7,7,N
-13646531.3745,5698410.089,266,0012-0000337,PDXTRANS,PDXTRANS,BF44965,,BSHARE,5,5,N
-13642640.672,5705896.2211,267,0012-0000338,PDXTRANS,PDXTRANS,BF21015,,BSHARE,7,7,N
-13642651.9665,5705896.3133,268,0012-0000339,PDXTRANS,PDXTRANS,BF21015,,BSHARE,7,7,N
-13645471.0719,5701345.2077,269,0012-0000340,PDXTRANS,PDXTRANS,BF44331,,BSHARE,7,7,N
-13643185.9891,5703623.44,270,0012-0000341,PDXTRANS,PDXTRANS,BF52521,,BSHARE,6,6,Y
-13643071.5695,5704157.5671,271,0012-0000342,PDXTRANS,PDXTRANS,BF70376,,BSHARE,9,9,N
-13643585.69,5705528.4597,272,0012-0000362,PDXTRANS,PDXTRANS,BF17059,,BSHARE,8,8,N
-13643135.4464,5705902.9638,273,0012-0000343,PDXTRANS,PDXTRANS,BF21013,,BSHARE,11,11,Y
-13651161.4862,5709105.1603,274,0012-0000344,PDXTRANS,PDXTRANS,BF25873,,BSHARE,6,6,Y
-13656885.6234,5712808.3799,275,0012-0000345,PDXTRANS,PDXTRANS,BF4679,,BSHARE,5,5,N
-13658432.2239,5711683.215,276,0012-0000346,PDXTRANS,PDXTRANS,BF7142,,BSHARE,5,5,N
-13654038.5308,5712000.0339,277,0012-0000347,PDXTRANS,PDXTRANS,BF19164,,BSHARE,7,7,N
-13645371.3959,5699047.6522,278,0012-0000348,PDXTRANS,PDXTRANS,BF46704,,BSHARE,5,5,N
-13643798.9097,5702809.6168,279,0012-0000349,PDXTRANS,PDXTRANS,BF41614,,BSHARE,5,5,N
-13642633.76,5703134.3162,280,0012-0000350,PDXTRANS,PDXTRANS,BF31982,,BSHARE,5,5,Y
-13641848.9979,5703654.3872,281,0012-0000351,PDXTRANS,PDXTRANS,BF32236,,BSHARE,6,6,Y
-13645405.6556,5705951.8634,282,0012-0000352,TRI-MET,TRI-MET,BF16476,,BSHARE,5,5,N
-13645970.0668,5708546.2044,283,0012-0000353,PDXTRANS,PDXTRANS,BF16136,,BSHARE,5,5,Y
-13652323.1864,5708255.6998,284,0012-0000354,PDXTRANS,PDXTRANS,BF19964,,BSHARE,5,5,N
-13646547.8838,5709385.4163,285,0012-0000355,PDXTRANS,PDXTRANS,BF24488,,BSHARE,5,5,Y
